interaction,directionality,classification,modulatory_effect,interactor1,interactor2,cell1,cell2
COL14A1 -> ITGA11+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL14A1,ITGB1,STRIATUM_1,STRIATUM_2
COL14A1 -> ITGA11+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL14A1,ITGB1,STRIATUM_1,STRIATUM_2
COL14A1 -> ITGA2+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL14A1,ITGB1,STRIATUM_1,STRIATUM_2
COL14A1 -> ITGA2+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL14A1,ITGB1,STRIATUM_1,STRIATUM_2
COL27A1 -> ITGA1+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL27A1,ITGA1,STRIATUM_1,STRIATUM_2
COL27A1 -> ITGA1+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL27A1,ITGB1,STRIATUM_1,STRIATUM_2
COL27A1 -> ITGA1+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL27A1,ITGA1,STRIATUM_1,STRIATUM_2
COL27A1 -> ITGA1+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL27A1,ITGB1,STRIATUM_1,STRIATUM_2
COL27A1 -> ITGA10+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL27A1,ITGB1,STRIATUM_1,STRIATUM_2
COL27A1 -> ITGA10+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL27A1,ITGB1,STRIATUM_1,STRIATUM_2
COL27A1 -> ITGA11+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL27A1,ITGB1,STRIATUM_1,STRIATUM_2
COL27A1 -> ITGA11+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL27A1,ITGB1,STRIATUM_1,STRIATUM_2
COL27A1 -> ITGA2+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL27A1,ITGB1,STRIATUM_1,STRIATUM_2
COL27A1 -> ITGA2+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL27A1,ITGB1,STRIATUM_1,STRIATUM_2
COL4A1 -> ITGA1+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL4A1,ITGA1,STRIATUM_1,STRIATUM_2
COL4A1 -> ITGA1+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL4A1,ITGB1,STRIATUM_1,STRIATUM_2
COL4A1 -> ITGA1+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL4A1,ITGA1,STRIATUM_1,STRIATUM_2
COL4A1 -> ITGA1+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL4A1,ITGB1,STRIATUM_1,STRIATUM_2
COL4A1 -> ITGA10+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL4A1,ITGB1,STRIATUM_1,STRIATUM_2
COL4A1 -> ITGA10+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL4A1,ITGB1,STRIATUM_1,STRIATUM_2
COL4A1 -> ITGA11+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL4A1,ITGB1,STRIATUM_1,STRIATUM_2
COL4A1 -> ITGA11+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL4A1,ITGB1,STRIATUM_1,STRIATUM_2
COL4A1 -> ITGA2+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL4A1,ITGB1,STRIATUM_1,STRIATUM_2
COL4A1 -> ITGA2+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL4A1,ITGB1,STRIATUM_1,STRIATUM_2
COL5A2 -> ITGA1+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL5A2,ITGA1,STRIATUM_1,STRIATUM_2
COL5A2 -> ITGA1+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL5A2,ITGB1,STRIATUM_1,STRIATUM_2
COL5A2 -> ITGA1+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL5A2,ITGA1,STRIATUM_1,STRIATUM_2
COL5A2 -> ITGA1+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL5A2,ITGB1,STRIATUM_1,STRIATUM_2
COL5A2 -> ITGA10+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL5A2,ITGB1,STRIATUM_1,STRIATUM_2
COL5A2 -> ITGA10+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL5A2,ITGB1,STRIATUM_1,STRIATUM_2
COL5A2 -> ITGA11+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL5A2,ITGB1,STRIATUM_1,STRIATUM_2
COL5A2 -> ITGA11+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL5A2,ITGB1,STRIATUM_1,STRIATUM_2
COL5A2 -> ITGA2+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL5A2,ITGB1,STRIATUM_1,STRIATUM_2
COL5A2 -> ITGA2+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL5A2,ITGB1,STRIATUM_1,STRIATUM_2
COL6A1 -> ITGA1+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL6A1,ITGA1,STRIATUM_1,STRIATUM_2
COL6A1 -> ITGA1+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL6A1,ITGB1,STRIATUM_1,STRIATUM_2
COL6A1 -> ITGA1+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL6A1,ITGA1,STRIATUM_1,STRIATUM_2
COL6A1 -> ITGA1+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL6A1,ITGB1,STRIATUM_1,STRIATUM_2
COL6A1 -> ITGA10+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL6A1,ITGB1,STRIATUM_1,STRIATUM_2
COL6A1 -> ITGA10+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL6A1,ITGB1,STRIATUM_1,STRIATUM_2
COL6A1 -> ITGA11+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL6A1,ITGB1,STRIATUM_1,STRIATUM_2
COL6A1 -> ITGA11+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL6A1,ITGB1,STRIATUM_1,STRIATUM_2
COL6A1 -> ITGA2+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL6A1,ITGB1,STRIATUM_1,STRIATUM_2
COL6A1 -> ITGA2+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL6A1,ITGB1,STRIATUM_1,STRIATUM_2
COL6A3 -> ITGA1+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL6A3,ITGA1,STRIATUM_1,STRIATUM_2
COL6A3 -> ITGA1+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL6A3,ITGB1,STRIATUM_1,STRIATUM_2
COL6A3 -> ITGA1+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL6A3,ITGA1,STRIATUM_1,STRIATUM_2
COL6A3 -> ITGA1+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL6A3,ITGB1,STRIATUM_1,STRIATUM_2
COL6A3 -> ITGA10+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL6A3,ITGB1,STRIATUM_1,STRIATUM_2
COL6A3 -> ITGA10+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL6A3,ITGB1,STRIATUM_1,STRIATUM_2
COL6A3 -> ITGA11+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL6A3,ITGB1,STRIATUM_1,STRIATUM_2
COL6A3 -> ITGA11+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL6A3,ITGB1,STRIATUM_1,STRIATUM_2
COL6A3 -> ITGA2+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL6A3,ITGB1,STRIATUM_1,STRIATUM_2
COL6A3 -> ITGA2+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL6A3,ITGB1,STRIATUM_1,STRIATUM_2
COL7A1 -> ITGA1+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL7A1,ITGA1,STRIATUM_1,STRIATUM_2
COL7A1 -> ITGA1+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL7A1,ITGB1,STRIATUM_1,STRIATUM_2
COL7A1 -> ITGA1+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL7A1,ITGA1,STRIATUM_1,STRIATUM_2
COL7A1 -> ITGA1+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL7A1,ITGB1,STRIATUM_1,STRIATUM_2
COL7A1 -> ITGA10+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL7A1,ITGB1,STRIATUM_1,STRIATUM_2
COL7A1 -> ITGA10+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL7A1,ITGB1,STRIATUM_1,STRIATUM_2
COL7A1 -> ITGA11+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL7A1,ITGB1,STRIATUM_1,STRIATUM_2
COL7A1 -> ITGA11+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL7A1,ITGB1,STRIATUM_1,STRIATUM_2
COL7A1 -> ITGA2+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL7A1,ITGB1,STRIATUM_1,STRIATUM_2
COL7A1 -> ITGA2+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL7A1,ITGB1,STRIATUM_1,STRIATUM_2
FN1 -> ITGA10+ITGB1,Adhesion-Adhesion,Adhesion by Fibronectin,,FN1,ITGB1,STRIATUM_1,STRIATUM_2
FN1 -> ITGA10+ITGB1,Adhesion-Adhesion,Adhesion by Fibronectin,,FN1,ITGB1,STRIATUM_1,STRIATUM_2
FN1 -> ITGA11+ITGB1,Adhesion-Adhesion,Adhesion by Fibronectin,,FN1,ITGB1,STRIATUM_1,STRIATUM_2
FN1 -> ITGA11+ITGB1,Adhesion-Adhesion,Adhesion by Fibronectin,,FN1,ITGB1,STRIATUM_1,STRIATUM_2
FN1 -> ITGA2+ITGB1,Adhesion-Adhesion,Adhesion by Fibronectin,,FN1,ITGB1,STRIATUM_1,STRIATUM_2
FN1 -> ITGA2+ITGB1,Adhesion-Adhesion,Adhesion by Fibronectin,,FN1,ITGB1,STRIATUM_1,STRIATUM_2
FN1 -> ITGA3+ITGB1,Adhesion-Adhesion,Adhesion by Fibronectin,,FN1,ITGB1,STRIATUM_1,STRIATUM_2
FN1 -> ITGA3+ITGB1,Adhesion-Adhesion,Adhesion by Fibronectin,,FN1,ITGB1,STRIATUM_1,STRIATUM_2
FN1 -> ITGA4+ITGB1,Adhesion-Adhesion,Adhesion by Fibronectin,,FN1,ITGB1,STRIATUM_1,STRIATUM_2
FN1 -> ITGA4+ITGB1,Adhesion-Adhesion,Adhesion by Fibronectin,,FN1,ITGB1,STRIATUM_1,STRIATUM_2
FN1 -> ITGA5+ITGB1,Adhesion-Adhesion,Adhesion by Fibronectin,,FN1,ITGB1,STRIATUM_1,STRIATUM_2
FN1 -> ITGA5+ITGB1,Adhesion-Adhesion,Adhesion by Fibronectin,,FN1,ITGB1,STRIATUM_1,STRIATUM_2
FN1 -> ITGA8+ITGB1,Adhesion-Adhesion,Adhesion by Fibronectin,,FN1,ITGB1,STRIATUM_1,STRIATUM_2
FN1 -> ITGA8+ITGB1,Adhesion-Adhesion,Adhesion by Fibronectin,,FN1,ITGB1,STRIATUM_1,STRIATUM_2
FN1 -> ITGAV+ITGB1,Adhesion-Adhesion,Adhesion by Fibronectin,,FN1,ITGAV,STRIATUM_1,STRIATUM_2
FN1 -> ITGAV+ITGB1,Adhesion-Adhesion,Adhesion by Fibronectin,,FN1,ITGB1,STRIATUM_1,STRIATUM_2
FN1 -> ITGAV+ITGB1,Adhesion-Adhesion,Adhesion by Fibronectin,,FN1,ITGAV,STRIATUM_1,STRIATUM_2
FN1 -> ITGAV+ITGB1,Adhesion-Adhesion,Adhesion by Fibronectin,,FN1,ITGB1,STRIATUM_1,STRIATUM_2
FN1 -> ITGAV+ITGB3,Adhesion-Adhesion,Adhesion by Fibronectin,,FN1,ITGAV,STRIATUM_1,STRIATUM_2
FN1 -> ITGAV+ITGB3,Adhesion-Adhesion,Adhesion by Fibronectin,,FN1,ITGAV,STRIATUM_1,STRIATUM_2
FN1 -> ITGAV+ITGB5,Adhesion-Adhesion,Adhesion by Fibronectin,,FN1,ITGB5,STRIATUM_1,STRIATUM_2
FN1 -> ITGAV+ITGB5,Adhesion-Adhesion,Adhesion by Fibronectin,,FN1,ITGAV,STRIATUM_1,STRIATUM_2
FN1 -> ITGAV+ITGB5,Adhesion-Adhesion,Adhesion by Fibronectin,,FN1,ITGB5,STRIATUM_1,STRIATUM_2
FN1 -> ITGAV+ITGB5,Adhesion-Adhesion,Adhesion by Fibronectin,,FN1,ITGAV,STRIATUM_1,STRIATUM_2
L1CAM -> EZR+L1CAM,Ligand-Receptor,Adhesion by L1CAM,,L1CAM,EZR,STRIATUM_1,STRIATUM_2
L1CAM -> EZR+L1CAM,Ligand-Receptor,Adhesion by L1CAM,,L1CAM,EZR,STRIATUM_1,STRIATUM_2
L1CAM -> ITGA5+ITGB1,Ligand-Receptor,Adhesion by L1CAM,,L1CAM,ITGB1,STRIATUM_1,STRIATUM_2
L1CAM -> ITGA5+ITGB1,Ligand-Receptor,Adhesion by L1CAM,,L1CAM,ITGB1,STRIATUM_1,STRIATUM_2
L1CAM -> ITGA9+ITGB1,Ligand-Receptor,Adhesion by L1CAM,,L1CAM,ITGB1,STRIATUM_1,STRIATUM_2
L1CAM -> ITGA9+ITGB1,Ligand-Receptor,Adhesion by L1CAM,,L1CAM,ITGB1,STRIATUM_1,STRIATUM_2
L1CAM -> ITGAV+ITGB1,Ligand-Receptor,Adhesion by L1CAM,,L1CAM,ITGAV,STRIATUM_1,STRIATUM_2
L1CAM -> ITGAV+ITGB1,Ligand-Receptor,Adhesion by L1CAM,,L1CAM,ITGB1,STRIATUM_1,STRIATUM_2
L1CAM -> ITGAV+ITGB1,Ligand-Receptor,Adhesion by L1CAM,,L1CAM,ITGAV,STRIATUM_1,STRIATUM_2
L1CAM -> ITGAV+ITGB1,Ligand-Receptor,Adhesion by L1CAM,,L1CAM,ITGB1,STRIATUM_1,STRIATUM_2
L1CAM -> ITGAV+ITGB3,Ligand-Receptor,Adhesion by L1CAM,,L1CAM,ITGAV,STRIATUM_1,STRIATUM_2
L1CAM -> ITGAV+ITGB3,Ligand-Receptor,Adhesion by L1CAM,,L1CAM,ITGAV,STRIATUM_1,STRIATUM_2
LAMC1 -> ITGA2+ITGB1,Ligand-Receptor,Adhesion by Laminin,,LAMC1,ITGB1,STRIATUM_1,STRIATUM_2
LAMC1 -> ITGA2+ITGB1,Ligand-Receptor,Adhesion by Laminin,,LAMC1,ITGB1,STRIATUM_1,STRIATUM_2
LAMC1 -> ITGA6+ITGB1,Ligand-Receptor,Adhesion by Laminin,,LAMC1,ITGA6,STRIATUM_1,STRIATUM_2
LAMC1 -> ITGA6+ITGB1,Ligand-Receptor,Adhesion by Laminin,,LAMC1,ITGB1,STRIATUM_1,STRIATUM_2
LAMC1 -> ITGA6+ITGB1,Ligand-Receptor,Adhesion by Laminin,,LAMC1,ITGA6,STRIATUM_1,STRIATUM_2
LAMC1 -> ITGA6+ITGB1,Ligand-Receptor,Adhesion by Laminin,,LAMC1,ITGB1,STRIATUM_1,STRIATUM_2
LAMC1 -> ITGA7+ITGB1,Ligand-Receptor,Adhesion by Laminin,,LAMC1,ITGB1,STRIATUM_1,STRIATUM_2
LAMC1 -> ITGA7+ITGB1,Ligand-Receptor,Adhesion by Laminin,,LAMC1,ITGB1,STRIATUM_1,STRIATUM_2
LAMC1 -> ITGAV+ITGB3,Ligand-Receptor,Adhesion by Laminin,,LAMC1,ITGAV,STRIATUM_1,STRIATUM_2
LAMC1 -> ITGAV+ITGB3,Ligand-Receptor,Adhesion by Laminin,,LAMC1,ITGAV,STRIATUM_1,STRIATUM_2
NECTIN2 -> NECTIN3,Adhesion-Adhesion,Adhesion by Nectin,,NECTIN2,NECTIN3,STRIATUM_1,STRIATUM_2
APP -> SORL1,Ligand-Receptor,Signaling by Amyloid-beta precursor protein,,APP,SORL1,STRIATUM_1,STRIATUM_2
APP -> SORL1,Ligand-Receptor,Signaling by Amyloid-beta precursor protein,,APP,SORL1,STRIATUM_1,STRIATUM_2
APP -> SORL1,Ligand-Receptor,Signaling by Amyloid-beta precursor protein,,APP,SORL1,STRIATUM_1,STRIATUM_2
APP -> SORL1,Ligand-Receptor,Signaling by Amyloid-beta precursor protein,,APP,SORL1,STRIATUM_1,STRIATUM_2
APP -> SORL1,Ligand-Receptor,Signaling by Amyloid-beta precursor protein,,APP,SORL1,STRIATUM_1,STRIATUM_2
APP -> SORL1,Ligand-Receptor,Signaling by Amyloid-beta precursor protein,,APP,SORL1,STRIATUM_1,STRIATUM_2
APP -> SORL1,Ligand-Receptor,Signaling by Amyloid-beta precursor protein,,APP,SORL1,STRIATUM_1,STRIATUM_2
APP -> SORL1,Ligand-Receptor,Signaling by Amyloid-beta precursor protein,,APP,SORL1,STRIATUM_1,STRIATUM_2
BMP2 -> ACVR2A+BMPR1A,Ligand-Receptor,Signaling by BMP,,BMP2,BMPR1A,STRIATUM_1,STRIATUM_2
BMP2 -> ACVR2A+BMPR1A,Ligand-Receptor,Signaling by BMP,,BMP2,ACVR2A,STRIATUM_1,STRIATUM_2
BMP2 -> ACVR2A+BMPR1A,Ligand-Receptor,Signaling by BMP,,BMP2,BMPR1A,STRIATUM_1,STRIATUM_2
BMP2 -> ACVR2A+BMPR1A,Ligand-Receptor,Signaling by BMP,,BMP2,ACVR2A,STRIATUM_1,STRIATUM_2
BMP2 -> ACVR2A+BMPR1B,Ligand-Receptor,Signaling by BMP,,BMP2,BMPR1B,STRIATUM_1,STRIATUM_2
BMP2 -> ACVR2A+BMPR1B,Ligand-Receptor,Signaling by BMP,,BMP2,ACVR2A,STRIATUM_1,STRIATUM_2
BMP2 -> ACVR2A+BMPR1B,Ligand-Receptor,Signaling by BMP,,BMP2,BMPR1B,STRIATUM_1,STRIATUM_2
BMP2 -> ACVR2A+BMPR1B,Ligand-Receptor,Signaling by BMP,,BMP2,ACVR2A,STRIATUM_1,STRIATUM_2
BMP2 -> ACVR2B+BMPR1A,Ligand-Receptor,Signaling by BMP,,BMP2,ACVR2B,STRIATUM_1,STRIATUM_2
BMP2 -> ACVR2B+BMPR1A,Ligand-Receptor,Signaling by BMP,,BMP2,BMPR1A,STRIATUM_1,STRIATUM_2
BMP2 -> ACVR2B+BMPR1A,Ligand-Receptor,Signaling by BMP,,BMP2,ACVR2B,STRIATUM_1,STRIATUM_2
BMP2 -> ACVR2B+BMPR1A,Ligand-Receptor,Signaling by BMP,,BMP2,BMPR1A,STRIATUM_1,STRIATUM_2
BMP2 -> ACVR2B+BMPR1B,Ligand-Receptor,Signaling by BMP,,BMP2,ACVR2B,STRIATUM_1,STRIATUM_2
BMP2 -> ACVR2B+BMPR1B,Ligand-Receptor,Signaling by BMP,,BMP2,BMPR1B,STRIATUM_1,STRIATUM_2
BMP2 -> ACVR2B+BMPR1B,Ligand-Receptor,Signaling by BMP,,BMP2,ACVR2B,STRIATUM_1,STRIATUM_2
BMP2 -> ACVR2B+BMPR1B,Ligand-Receptor,Signaling by BMP,,BMP2,BMPR1B,STRIATUM_1,STRIATUM_2
BMP2 -> BMPR1A+BMPR2,Ligand-Receptor,Signaling by BMP,,BMP2,BMPR1A,STRIATUM_1,STRIATUM_2
BMP2 -> BMPR1A+BMPR2,Ligand-Receptor,Signaling by BMP,,BMP2,BMPR2,STRIATUM_1,STRIATUM_2
BMP2 -> BMPR1A+BMPR2,Ligand-Receptor,Signaling by BMP,,BMP2,BMPR1A,STRIATUM_1,STRIATUM_2
BMP2 -> BMPR1A+BMPR2,Ligand-Receptor,Signaling by BMP,,BMP2,BMPR2,STRIATUM_1,STRIATUM_2
BMP2 -> BMPR1B+BMPR2,Ligand-Receptor,Signaling by BMP,,BMP2,BMPR2,STRIATUM_1,STRIATUM_2
BMP2 -> BMPR1B+BMPR2,Ligand-Receptor,Signaling by BMP,,BMP2,BMPR1B,STRIATUM_1,STRIATUM_2
BMP2 -> BMPR1B+BMPR2,Ligand-Receptor,Signaling by BMP,,BMP2,BMPR2,STRIATUM_1,STRIATUM_2
BMP2 -> BMPR1B+BMPR2,Ligand-Receptor,Signaling by BMP,,BMP2,BMPR1B,STRIATUM_1,STRIATUM_2
BMPR1B+BMPR2 -> BMPR1A,Receptor-Receptor,Signaling by BMP,,BMPR2,BMPR1A,STRIATUM_1,STRIATUM_2
BMPR1B+BMPR2 -> BMPR1A,Receptor-Receptor,Signaling by BMP,,BMPR2,BMPR1A,STRIATUM_1,STRIATUM_2
CLSTN1 -> NRXN2,Ligand-Receptor,Signaling by Calsyntenin,,CLSTN1,NRXN2,STRIATUM_1,STRIATUM_2
CLSTN2 -> NRXN2,Ligand-Receptor,Signaling by Calsyntenin,,CLSTN2,NRXN2,STRIATUM_1,STRIATUM_2
UBASH3B -> PPARA,Ligand-Receptor,Signaling by Dehydroepiandrosterone,,UBASH3B,PPARA,STRIATUM_1,STRIATUM_2
EFNA5 -> EPHA3,Ligand-Receptor,Signaling by Ephrin,,EFNA5,EPHA3,STRIATUM_1,STRIATUM_2
EFNA5 -> EPHA3,Ligand-Receptor,Signaling by Ephrin,,EFNA5,EPHA3,STRIATUM_1,STRIATUM_2
EFNA5 -> EPHA3,Ligand-Receptor,Signaling by Ephrin,,EFNA5,EPHA3,STRIATUM_1,STRIATUM_2
EFNA5 -> EPHA3,Ligand-Receptor,Signaling by Ephrin,,EFNA5,EPHA3,STRIATUM_1,STRIATUM_2
EFNA5 -> EPHA3,Ligand-Receptor,Signaling by Ephrin,,EFNA5,EPHA3,STRIATUM_1,STRIATUM_2
EFNA5 -> EPHA3,Ligand-Receptor,Signaling by Ephrin,,EFNA5,EPHA3,STRIATUM_1,STRIATUM_2
EFNA5 -> EPHA3,Ligand-Receptor,Signaling by Ephrin,,EFNA5,EPHA3,STRIATUM_1,STRIATUM_2
EFNA5 -> EPHA3,Ligand-Receptor,Signaling by Ephrin,,EFNA5,EPHA3,STRIATUM_1,STRIATUM_2
EFNA5 -> EPHA4,Ligand-Receptor,Signaling by Ephrin,,EFNA5,EPHA4,STRIATUM_1,STRIATUM_2
EFNA5 -> EPHA4,Ligand-Receptor,Signaling by Ephrin,,EFNA5,EPHA4,STRIATUM_1,STRIATUM_2
